,FY2014 Ranking,FY2013 Ranking,FY2012 Ranking,Industry,Total Engineering,Aero/Astro-Engineering,Bio-Engineering,Chemical Engineering,Civil Engineering,Eng - Electrical,Eng - Materials,Eng - Mechanical,Total Physical Sciences,Chemistry,Physics,Astronomy,Total Environmental Sci,Atmospheric,Earth Sciences,Oceanographic,Mathematical,Computer Science,Total Life Sciences,Agricultural,Biological,Medical,Psychology,Total Social Sciences,Economics,Political Science,Sociology,Number In Top Ten Fields/Subfields
Johns Hopkins,1,1,1,13,1,1,4,28,16,1,22,1,2,11,3,4,23,38,34,41,1,1,3,N/A,8,4,87,69,109,185,14,13
U. Michigan,2,2,2,16,7,14,17,17,14,6,16,10,20,10,22,21,49,N/A,15,N/A,6,49,4,51,12,8,5,1,1,2,3,12
U. Washington,3,3,4,14,17,24,6,34,22,13,38,42,26,24,24,16,5,2,36,4,27,24,5,43,15,7,41,56,209,29,22,6
U. Wisconsin,4,4,3,45,15,N/A,2,19,19,45,28,61,13,27,14,26,17,5,43,47,30,19,12,27,17,14,68,7,11,39,7,4
UC San Francisco,5,6,6,12,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,40,6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,N/A,87,1,N/A,N/A,N/A,N/A,N/A,3
UC San Diego,6,5,5,8,18,N/A,5,N/A,N/A,7,N/A,18,14,2,12,N/A,1,10,4,2,37,10,13,N/A,95,5,7,32,58,9,29,12
Duke,7,8,7,1,36,N/A,12,N/A,64,19,25,70,66,79,51,N/A,45,N/A,98,35,7,89,2,N/A,9,3,37,21,19,8,27,6
UNC,8,9,11,30,193,N/A,67,N/A,N/A,N/A,N/A,N/A,44,14,65,N/A,26,N/A,12,26,22,17,8,N/A,6,17,1,2,139,23,1,5
Stanford,9,11,9,6,16,9,9,32,26,16,43,12,9,29,68,N/A,25,N/A,21,40,20,15,15,N/A,10,16,20,37,46,162,9,6
UCLA,10,10,8,19,38,N/A,55,26,80,25,31,28,18,40,9,N/A,34,25,20,N/A,14,28,9,N/A,109,2,24,10,114,74,20,4
Harvard,11,7,17,18,50,N/A,36,72,45,70,12,75,16,7,15,12,24,63,29,125,12,136,20,N/A,2,50,56,4,10,3,55,4
MIT,12,12,15,3,4,7,1,2,9,5,4,6,7,31,5,5,15,12,13,33,19,6,96,149,47,107,168,27,6,38,289,14
Columbia,13,13,10,28,46,42,16,35,86,24,N/A,79,31,54,21,11,4,9,7,7,53,16,17,N/A,23,20,76,72,71,24,36,4
Cornell,14,16,16,32,20,N/A,29,23,62,29,18,26,6,22,7,8,35,N/A,37,91,54,23,18,6,27,24,29,9,3,106,10,7
Minnesota,15,15,14,37,21,30,8,11,21,33,N/A,14,24,23,16,37,53,N/A,22,N/A,8,30,14,12,30,12,3,12,14,18,6,4
Pitt,16,14,12,67,88,N/A,24,50,87,90,N/A,77,48,41,55,38,62,N/A,86,N/A,49,61,7,N/A,19,6,19,105,96,71,111,2
Texas A&M,17,19,24,11,6,13,19,6,1,15,50,8,25,13,30,41,3,24,23,3,10,53,40,1,93,62,91,36,39,43,54,8
Penn,18,18,13,7,61,N/A,34,71,N/A,31,29,57,51,59,33,N/A,161,N/A,104,N/A,64,29,10,136,11,10,18,18,70,33,16,3
Ohio State,19,20,19,4,13,71,98,10,32,22,8,5,33,42,26,28,64,N/A,25,N/A,21,14,25,22,54,21,50,31,31,22,42,4
Penn State ,20,17,18,31,5,10,66,21,12,4,2,3,21,33,18,15,13,8,8,32,11,8,52,11,66,60,4,11,41,25,2,10
