,FY2013 Ranking,FY2012 Ranking,FY2011 Ranking,Industry,Total Engineering,Aero/Astro-Engineering,Bio-Engineering,Chemical Engineering,Civil Engineering,Eng - Electrical,Eng - Materials,Eng - Mechanical,Total Physical Sciences,Chemistry,Physics,Astronomy,Total Environmental Sci,Atmospheric,Earth Sciences,Oceanographic,Mathematical,Computer Science,Total Life Sciences,Agricultural,Biological,Medical,Psychology,Total Social Sciences,Economics,Political Science,Sociology,Number In Top Ten Fields/Subfields
Johns Hopkins,1,1,1,15,1,1,4,7,23,1,86,1,2,9,2,5,20,24,81,29,1,3,2,n/a,6,4,79,75,98,256,19,15
U. Michigan,2,2,2,14,7,14,20,17,12,8,16,10,22,12,23,21,47,n/a,16,n/a,6,61,4,49,16,9,5,1,1,2,2,11
U. Washington,3,4,3,21,18,29,5,34,21,20,35,41,27,27,22,17,5,1,40,4,30,29,5,40,15,7,46,47,166,32,14,6
U. Wisconsin,4,3,4,45,14,n/a,10,14,14,52,31,49,12,13,13,23,16,4,42,46,26,20,12,28,14,14,67,7,7,38,8,5
UC San Diego,5,5,6,8,17,n/a,6,n/a,n/a,6,139,18,15,5,12,n/a,1,10,5,2,36,10,13,n/a,91,3,8,31,43,12,30,10
UC San Francisco,6,6,7,10,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,95,46,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a,111,1,n/a,n/a,n/a,n/a,n/a,2
Harvard,7,17,27,24,50,n/a,47,72,56,79,12,57,13,3,16,14,27,86,33,n/a,15,152,18,n/a,2,40,59,4,12,1,35,4
Duke,8,7,5,2,37,n/a,11,n/a,79,18,38,70,57,75,40,n/a,44,n/a,90,36,9,81,3,n/a,7,5,6,26,32,9,22,6
UNC Chapel Hill,9,11,17,35,204,n/a,68,n/a,n/a,n/a,n/a,n/a,37,11,53,n/a,23,n/a,10,28,28,18,7,n/a,8,18,1,2,163,25,1,6
UC Los Angeles     ,10,8,8,12,36,n/a,59,27,71,24,24,24,16,25,8,n/a,40,25,25,n/a,12,26,9,n/a,107,2,30,9,135,70,26,4
Stanford            ,11,9,9,7,15,15,15,11,27,15,45,13,6,18,60,n/a,29,n/a,30,43,17,15,17,n/a,21,17,27,25,30,17,23,1
MIT,12,15,20,3,3,7,1,4,7,5,2,5,4,22,6,6,15,12,15,34,18,7,95,n/a,44,103,137,33,11,35,152,12
Columbia,13,10,12,20,43,42,16,53,92,26,141,84,30,48,21,16,4,8,4,16,50,27,15,n/a,30,16,78,65,56,20,42,3
U. Pittsburgh,14,12,10,72,88,n/a,22,48,106,98,164,56,43,31,50,36,74,n/a,91,n/a,42,60,6,n/a,18,6,33,107,102,92,156,2
U. Minnesota   ,15,14,13,33,27,28,12,10,19,42,147,17,26,35,19,37,49,n/a,19,n/a,8,28,16,13,29,13,3,12,14,16,5,4
Cornell,16,16,16,32,20,n/a,35,26,72,30,20,23,5,17,9,10,37,n/a,38,110,49,17,19,19,22,21,34,10,3,109,10,6
Penn State 2013,17,18,15,27,5,8,76,19,9,4,1,3,21,26,17,15,14,9,9,35,11,8,47,8,64,58,2,14,45,28,3,12
U. Penn,18,13,11,11,61,n/a,29,63,n/a,39,27,55,46,47,32,n/a,130,n/a,79,n/a,53,25,11,136,12,10,19,19,70,40,16,1
Texas A&M,19,24,23,13,6,10,28,9,1,23,32,11,25,15,24,62,3,27,39,3,7,48,40,1,106,64,90,49,41,48,44,8
Ohio State,20,19,14,4,13,61,90,22,26,16,5,6,39,43,35,32,71,n/a,27,n/a,20,12,24,22,42,23,31,27,27,21,38,2
